lat;lon;elevacion;pendiente;orientacion;temp_max;temp_media;temp_min;precipitacion;viento_medio;racha_max;dir_viento;humedad_media;prec_acum_7d;tmax_max_7d;dias_sin_lluvia;veg_Agricola;veg_Coniferas;veg_Frondosas;veg_Matorral;veg_Pastizal;veg_Urbano_Antropizado;veg_Urbano_Otros
39,69764652475703;-0,4462578167662057;705,0;13,73;107,11;24,6;19,2;15,7;0,0;15,1;37,4;287,0;62,8;0,0;24,5;7,0;False;False;False;True;False;False;False
40,043258;-0,659065;1144,0;5,8;166,64;30,3;24,0;17,7;0,0;3,1;10,3;18,0;75,9;7,800000000000008;36,5;0,0;False;True;False;False;False;False;False
39,128827;-1,117535;716,0;8,48;141,58;10,3;3,7;-1,2;0,0;10,9;31,0;296,0;70,9;0,0;15,6;7,0;False;False;False;True;False;False;False
38,907326;-0,884494;784,0;7,4;101,98;31,3;23,0;17,9;0,0;11,3;33,5;79,0;66,7;1,8;31,4;2,0;False;True;False;False;False;False;False
40,082988;-0,135901;249,0;5,18;187,45;20,1;14,8;8,9;0,0;13,0;31,3;192,0;72,3;3,1;21,0;2,0;True;False;False;False;False;False;False
38,767788;-0,422274;356,0;17,94;274,78;28,3;21,0;12,9;0,0;10,6;33,1;186,0;47,4;0,0;38,2;7,0;True;False;False;False;False;False;False
40,15630358875879;-1,3058891903615055;1064,0;20,72;38,41;15,6;13,5;11,9;8,3;17,7;41,8;182,0;84,4;7,0;20,4;3,0;False;True;False;False;False;False;False
38,51771836354007;-0,4959897268088054;298,0;11,93;112,5;30,2;24,6;20,0;0,0;15,0;37,1;193,0;49,8;1,5;28,7;5,0;True;False;False;False;False;False;False
38,613715;-0,301069;547,0;25,47;358,62;10,2;8,4;6,5;0,0;31,0;61,6;335,0;43,0;2,5;14,1;4,0;False;True;False;False;False;False;False
38,87137670479524;-0,9029214066706084;737,0;0,51;180,0;30,0;24,2;19,4;0,0;22,2;46,4;270,0;45,6;4,0;31,5;2,0;True;False;False;False;False;False;False
40,63468533624832;0,1515064169554789;853,0;6,92;77,17;34,7;28,5;23,8;2,3;27,5;73,8;285,0;26,0;0,9;33,1;0,0;False;True;False;False;False;False;False
39,647725;-0,313078;225,0;23,16;160,9;19,0;13,2;8,7;0,1;41,0;96,5;276,0;31,4;6,3;28,1;0,0;False;True;False;False;False;False;False
39,88513992906779;-0,6295216485870506;647,0;4,77;57,4;16,2;11,3;7,2;0,8;10,7;24,5;294,0;77,2;6,5;18,4;0,0;True;False;False;False;False;False;False
38,90659922847802;-0,3108025178271432;185,0;17,53;313,04;23,7;20,1;17,1;4,6;12,5;31,0;56,0;83,2;0,5;31,1;3,0;True;False;False;False;False;False;False
38,70718935845882;0,0878881054881468;209,0;3,09;0,0;30,0;25,0;22,0;0,0;26,0;50,4;121,0;59,1;0,8;32,0;0,0;True;False;False;False;False;False;False
38,377976;-1,04866;548,0;1,22;147,47;21,7;16,3;10,9;0,0;1,9;10,0;25,0;60,1;31,8;22,4;0,0;False;False;False;True;False;False;False
38,45568046249987;-0,439990068033069;148,0;2,5;308,06;16,8;14,0;10,2;0,5;32,2;70,9;294,0;58,3;0,0;19,1;7,0;False;False;False;True;False;False;False
